user_id,username,rating,rank,max_rating,contribution,organization_id,friend_count,registration_date,city,country_id,max_streak,problems_solved
1,tourist,4009,tourist,4009,0,1,74093,2010-02-12,Gomel,1,5,2641
2,Radewoosh,3646,"legendary grandmaster",3759,0,2,11749,2013-11-23,Warsaw,2,6,4025
3,jqdai0815,3620,"legendary grandmaster",3681,0,3,13387,2011-05-24,Falefa,3,3,1853
4,cnnfls_csy,3569,"legendary grandmaster",3690,0,4,1989,2017-01-18,Nanjing,4,18,854
5,gyh20,3447,"legendary grandmaster",3447,0,5,1146,2019-11-06,Chongqing,4,19,1311
6,Rebelz,3409,"legendary grandmaster",3415,0,6,1359,2018-01-10,Beijing,4,16,1639
7,ksun48,3373,"legendary grandmaster",3654,0,7,5385,2012-01-06,,5,7,3377
8,turmax,3352,"legendary grandmaster",3352,0,8,801,2018-08-26,"Saint Petersburg",6,16,2721
9,Rewinding,3320,"legendary grandmaster",3659,0,9,4946,2018-02-16,Beijing,4,15,1144
10,scott_wu,3297,"legendary grandmaster",3350,0,10,3830,2010-12-28,"San Francisco",7,6,1693
11,conqueror_of_tourist,3260,"legendary grandmaster",3260,0,11,1722,2014-09-17,,7,8,1545
12,disorientation,3219,"legendary grandmaster",3219,0,NULL,222,2022-01-24,,7,3,376
13,WYZFL,3200,"legendary grandmaster",3200,0,NULL,177,2022-05-05,,NULL,3,96
14,dXqwq,3188,"legendary grandmaster",3188,0,12,1401,2019-01-31,Zhijiang,4,13,1797
15,Ormlis,3168,"legendary grandmaster",3410,0,13,1706,2019-09-18,Barnaul,6,33,4060
16,fateice,3151,"legendary grandmaster",3337,0,14,1297,2014-10-18,Fuzhou,4,4,245
17,QAQAutoMaton,3143,"legendary grandmaster",3428,0,9,1259,2016-07-30,Changsha,4,10,1071
18,p_b_p_b,3137,"legendary grandmaster",3137,0,9,454,2018-03-17,Beijing,4,13,795
19,ko_osaga,3136,"legendary grandmaster",3500,0,7,3241,2014-05-05,,8,13,2283
20,maspy,3129,"legendary grandmaster",3385,0,NULL,1974,2021-05-24,Tokyo,9,34,9454
21,PubabaOnO,3127,"legendary grandmaster",3225,0,12,375,2021-03-11,Hangzhou,4,12,412
22,peti1234,3112,"legendary grandmaster",3112,0,15,969,2016-06-08,,10,110,5359
23,Elegia,3109,"legendary grandmaster",3177,0,16,1922,2017-05-31,Beijing,4,8,1222
24,wangziji,3096,"legendary grandmaster",3096,0,6,283,2018-03-23,Zhijiang,4,9,744
25,xay5421,3093,"legendary grandmaster",3093,0,17,418,2018-01-05,Hangzhou,4,21,1003
26,kiwihadron,3089,"legendary grandmaster",3114,0,9,215,2017-11-03,Beijing,4,3,90
27,Szoboszlai10,3083,"legendary grandmaster",3083,0,18,87,2019-05-26,,11,8,446
28,Laurie,3074,"legendary grandmaster",3118,0,NULL,335,2021-02-23,Weihai,4,2,154
29,crazy_sea,3073,"legendary grandmaster",3146,0,19,209,2020-04-27,Zhongshan,4,5,423
30,JoesSR,3070,"legendary grandmaster",3070,0,NULL,129,2020-04-14,,NULL,11,1752
31,Qingyu,3065,"legendary grandmaster",3065,0,20,778,2018-05-28,,NULL,18,773
32,dotorya,3060,"legendary grandmaster",3237,0,21,1832,2013-03-15,Seoul,8,11,2450
33,skip2004,3052,"legendary grandmaster",3075,0,9,560,2017-12-31,Beijing,4,23,966
34,AlternatingCurrent,3047,"legendary grandmaster",3047,0,22,147,2018-07-15,,4,5,688
35,liuhengxi,3045,"legendary grandmaster",3045,0,23,252,2019-11-05,Ningbo,4,35,1631
36,kotatsugame,3043,"legendary grandmaster",3094,0,24,1340,2016-10-15,,9,15,3421
37,gisp_zjz,3033,"legendary grandmaster",3213,0,25,729,2017-09-25,Nanjing,4,8,1789
38,1a2b3c4,3029,"legendary grandmaster",3029,0,26,72,2017-07-04,,NULL,3,82
39,duality,3023,"legendary grandmaster",3341,0,NULL,902,2018-02-23,London,5,13,1180
40,zx2003,3013,"legendary grandmaster",3013,0,17,369,2017-04-22,Hangzhou,4,17,851
41,aaaaawa,3011,"legendary grandmaster",3046,0,27,209,2018-05-16,Wuhu,4,6,476
42,arvindf232,3007,"legendary grandmaster",3081,0,28,929,2019-08-09,,12,53,5468
43,Kubic,3004,"legendary grandmaster",3004,0,NULL,335,2019-06-02,,4,12,682
44,whzzt,2995,"international grandmaster",3025,0,14,599,2016-03-30,Wuhu,4,4,660
45,xuanxuan001,2988,"international grandmaster",2988,0,29,135,2020-02-02,Beijing,4,16,1087
46,Swistakk,2984,"international grandmaster",3105,0,2,2006,2012-05-14,Warsaw,2,6,2022
47,lumibons,2976,"international grandmaster",3151,0,30,189,2017-10-21,,13,3,841
48,errorgorn,2974,"international grandmaster",2974,0,31,1187,2019-05-17,Singapore,14,17,2132
49,yuto1115,2971,"international grandmaster",3051,0,32,180,2020-03-05,,9,8,871
50,yosupo,2964,"international grandmaster",3369,0,33,1109,2013-06-22,Tokyo,9,7,1513
51,He_Ren,2950,"international grandmaster",3020,0,14,642,2019-01-31,Weifang,4,16,2194
52,MagicalFlower,2948,"international grandmaster",3069,0,6,697,2018-12-16,Beijing,4,9,1272
53,StarSilk,2946,"international grandmaster",3132,0,34,1193,2022-07-09,,4,31,3257
54,froggyzhang,2940,"international grandmaster",2940,0,35,446,2019-03-03,Shaoxing,4,66,2504
55,cat_of_Nesraychan,2933,"international grandmaster",2933,0,36,124,2021-07-18,Fuzhou,4,10,478
56,Alex_Wei,2926,"international grandmaster",2998,0,4,991,2019-05-13,Nanjing,4,19,2440
57,Anadi,2923,"international grandmaster",2957,0,37,720,2014-12-15,,NULL,11,3059
58,huangzirui,2923,"international grandmaster",2923,0,38,214,2018-09-20,Changsha,4,7,452
59,jiry_2,2920,"international grandmaster",2920,0,39,964,2013-11-02,Beijing,4,17,588
60,Errichto,2916,"international grandmaster",3053,0,40,21311,2013-05-29,Warsaw,2,7,1579
61,PinkRabbitAFO,2913,"international grandmaster",2913,0,41,1627,2016-08-07,Fuzhou,4,9,1203
62,shiomusubi496,2909,"international grandmaster",2909,0,NULL,69,2020-07-14,,9,3,338
63,hank55663,2904,"international grandmaster",3064,0,42,788,2014-03-25,Taipei,15,10,5378
64,krijgertje,2900,"international grandmaster",3001,0,NULL,438,2010-05-31,Enschede,16,9,5271
65,xcyle,2900,"international grandmaster",2900,0,43,154,2021-01-01,Beijing,4,12,1132
66,jeroenodb,2894,"international grandmaster",2999,0,44,643,2020-05-18,Delft,16,31,2986
67,dl720125,2888,"international grandmaster",2944,0,22,123,2019-01-21,Nanjing,4,3,354
68,Licha06,2885,"international grandmaster",2885,0,45,26,2019-08-10,,NULL,5,305
69,femboy-wannabe,2883,"international grandmaster",2892,0,NULL,251,2023-10-19,,NULL,2,230
70,Adam_GS,2876,"international grandmaster",2896,0,46,679,2020-03-29,Warsaw,2,28,2104
