contest_id,contest_name,start_time,length
1,"Codeforces Beta Round 1Enter »Virtual participation »","2010-02-19 15:00:00",02:00:00
2,"Codeforces Beta Round 2Enter »Virtual participation »","2010-02-25 20:00:00",02:00:00
3,"Codeforces Beta Round 3Enter »Virtual participation »","2010-03-07 15:00:00",02:00:00
4,"Codeforces Beta Round 4 (Div. 2 Only)Enter »Virtual participation »","2010-03-12 15:00:00",02:00:00
5,"Codeforces Beta Round 5Enter »Virtual participation »","2010-03-20 19:00:00",02:00:00
6,"Codeforces Beta Round 6 (Div. 2 Only)Enter »Virtual participation »","2010-03-27 10:00:00",02:00:00
7,"Codeforces Beta Round 7Enter »Virtual participation »","2010-04-01 19:45:00",02:00:00
8,"Codeforces Beta Round 8Enter »Virtual participation »","2010-04-08 19:45:00",02:00:00
9,"Codeforces Beta Round 9 (Div. 2 Only)Enter »Virtual participation »","2010-04-11 15:00:00",02:00:00
10,"Codeforces Beta Round 10Enter »Virtual participation »","2010-04-15 19:45:00",02:00:00
11,"Codeforces Beta Round 11Enter »Virtual participation »","2010-04-26 19:00:00",02:00:00
12,"Codeforces Beta Round 12 (Div 2 Only)Enter »Virtual participation »","2010-04-29 15:00:00",02:00:00
13,"Codeforces Beta Round 13Enter »Virtual participation »","2010-05-06 18:00:00",02:00:00
14,"Codeforces Beta Round 14 (Div. 2)Enter »Virtual participation »","2010-05-19 19:30:00",02:00:00
15,"Codeforces Beta Round 15Enter »Virtual participation »","2010-05-29 19:00:00",02:15:00
16,"Codeforces Beta Round 16 (Div. 2 Only)Enter »Virtual participation »","2010-06-03 17:00:00",02:00:00
17,"Codeforces Beta Round 17Enter »Virtual participation »","2010-06-10 19:00:00",02:00:00
18,"Codeforces Beta Round 18 (Div. 2 Only)Enter »Virtual participation »","2010-06-16 19:00:00",02:00:00
19,"Codeforces Beta Round 19Enter »Virtual participation »","2010-06-24 19:00:00",02:00:00
20,"Codeforces Alpha Round 20 (Codeforces format)Enter »Virtual participation »","2010-06-18 19:30:00",01:30:00
21,"Codeforces Alpha Round 21 (Codeforces format)Enter »Virtual participation »","2010-06-28 17:05:00",02:00:00
22,"Codeforces Beta Round 22 (Div. 2 Only)Enter »Virtual participation »","2010-06-29 19:00:00",02:00:00
23,"Codeforces Beta Round 23Enter »Virtual participation »","2010-07-09 19:00:00",02:00:00
24,"Codeforces Beta Round 24Enter »Virtual participation »","2010-07-26 17:00:00",02:00:00
25,"Codeforces Beta Round 25 (Div. 2 Only)Enter »Virtual participation »","2010-08-02 19:00:00",02:00:00
26,"Codeforces Beta Round 26 (Codeforces format)Enter »Virtual participation »","2010-08-16 19:00:00",02:00:00
27,"Codeforces Beta Round 27 (Codeforces format, Div. 2)Enter »Virtual participation »","2010-09-10 19:00:00",02:00:00
28,"Codeforces Beta Round 28 (Codeforces format)Enter »Virtual participation »","2010-09-17 19:00:00",02:00:00
29,"Codeforces Beta Round 29 (Div. 2, Codeforces format)Enter »Virtual participation »","2010-09-20 19:00:00",02:00:00
30,"Codeforces Beta Round 30 (Codeforces format)Enter »Virtual participation »","2010-09-24 19:00:00",02:00:00
31,"Codeforces Beta Round 31 (Div. 2, Codeforces format)Enter »Virtual participation »","2010-09-27 19:00:00",02:00:00
32,"Codeforces Beta Round 32 (Div. 2, Codeforces format)Enter »Virtual participation »","2010-10-02 11:00:00",02:00:00
33,"Codeforces Beta Round 33 (Codeforces format)Enter »Virtual participation »","2010-10-07 19:00:00",02:00:00
34,"Codeforces Beta Round 34 (Div. 2)Enter »Virtual participation »","2010-10-11 17:00:00",02:00:00
35,"Codeforces Beta Round 35 (Div. 2)Enter »Virtual participation »","2010-10-19 11:00:00",02:00:00
36,"Codeforces Beta Round 36Enter »Virtual participation »","2010-10-19 14:00:00",02:00:00
37,"Codeforces Beta Round 37Enter »Virtual participation »","2010-10-25 19:00:00",02:00:00
38,"School Personal Contest #1 (Winter Computer School 2010/11) - Codeforces Beta Round 38 (ACM-ICPC Rules)Enter »Virtual participation »","2010-10-30 16:00:00",04:00:00
39,"School Team Contest 1 (Winter Computer School 2010/11)Enter »Virtual participation »","2010-10-24 11:10:00",05:00:00
40,"Codeforces Beta Round 39Enter »Virtual participation »","2010-11-05 19:00:00",02:00:00
41,"Codeforces Beta Round 40 (Div. 2)Enter »Virtual participation »","2010-11-08 19:00:00",02:00:00
42,"Codeforces Beta Round 41Enter »Virtual participation »","2010-11-18 19:00:00",02:00:00
43,"Codeforces Beta Round 42 (Div. 2)Enter »Virtual participation »","2010-11-29 19:00:00",02:00:00
