problem_id,title,difficulty
1120B,"Once in a casinoconstructive algorithms,greedy,implementation,math",2700
1120C,"Compress Stringdp,strings",2100
1120D,"Power Treedfs and similar,dp,dsu,graphs,greedy,trees",2500
1120E,"The very same Munchhausenbrute force",2600
1120F,"Secret Lettersdata structures,dp,greedy",3100
1121A,"Technogoblet of Fireimplementation,sortings",1100
1121B,"Mike and Childrenbrute force,implementation",1200
1121C,"System Testingimplementation",1600
1129A1,"Toy Train (Simplified)brute force,greedy",1700
1129A2,"Toy Trainbrute force,greedy",1800
1129B,"Wrong Answerconstructive algorithms",2000
1129C,"Morse Codebinary search,data structures,dp,hashing,sortings,string suffix structures,strings",2400
1129D,"Isolationdata structures,dp",2900
1129E,"Legendary Treebinary search,interactive,trees",3100
1130A,"Be Positiveimplementation",800
1130B,"Two Cakesgreedy",1200
1130C,"Connectbrute force,dfs and similar,dsu",1400
1131A,"Sea Battlemath",800
1131B,"Draw!greedy,implementation",1400
1131C,"Birthdaybinary search,greedy,sortings",1200
1131D,"Gourmet choicedfs and similar,dp,dsu,graphs,greedy",2000
1131E,"String Multiplicationdp,greedy,strings",2300
1131F,"Asya And Kittensconstructive algorithms,dsu",1700
1131G,"Most Dangerous Sharkdata structures,dp,two pointers",2700
1132A,"Regular Bracket Sequencegreedy,implementation",1100
1132B,"Discountsgreedy,sortings",900
1132C,"Painting the Fencebrute force",1700
1132D,"Stressful Trainingbinary search,greedy",2300
1132E,"Knapsackdfs and similar,dp,greedy",2300
1132F,"Clear the Stringdp",2000
1132G,"Greedy Subsequencesdata structures,dp,trees",2400
1133A,"Middle of the Contestimplementation",1000
1133B,"Preparation for International Women's Daymath,number theory",1200
1133C,"Balanced Teamsortings,two pointers",1200
1133D,"Zero Quantity Maximizationhashing,math,number theory",1500
1133E,"K Balanced Teamsdp,sortings,two pointers",1800
1133F1,"Spanning Tree with Maximum Degreegraphs",1600
1133F2,"Spanning Tree with One Fixed Degreeconstructive algorithms,dfs and similar,dsu,graphs,greedy",1900
1136A,"Nastya Is Reading a Bookimplementation",800
1136B,"Nastya Is Playing Computer Gamesconstructive algorithms,math",1000
1136C,"Nastya Is Transposing Matricesconstructive algorithms,sortings",1500
